Comment,Designator,Footprint,LCSC
ChinaPico,U1,RPi_Pico_SMD_TH,
GND,J16,TestPoint_Pad_2.0x2.0mm,
D4,J5,TestPoint_Pad_2.0x2.0mm,
10k,R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
Conn_01x60,J14,FPC_60_Adapter,
D3,J4,TestPoint_Pad_2.0x2.0mm,
CLK,J8,TestPoint_Pad_2.0x2.0mm,
D_Schottky,D2,D_A-405_P7.62mm_Horizontal,
RESET,J13,TestPoint_Pad_2.0x2.0mm,
D1,J2,TestPoint_Pad_2.0x2.0mm,
Bright,J1,TestPoint_Pad_2.0x2.0mm,
SolderJumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
LEFT,J10,TestPoint_Pad_2.0x2.0mm,
DW,J7,TestPoint_Pad_2.0x2.0mm,
SMS,J9,TestPoint_Pad_2.0x2.0mm,
START,J12,TestPoint_Pad_2.0x2.0mm,
CL2,J6,TestPoint_Pad_2.0x2.0mm,
+5V,J15,TestPoint_Pad_2.0x2.0mm,
Conn_02x06_Odd_Even,J17,PinSocket_2x06_P2.54mm_Horizontal,
RIGHT,J11,TestPoint_Pad_2.0x2.0mm,
D_Schottky,D1,D_SOD-123,
D2,J3,TestPoint_Pad_2.0x2.0mm,
NMOS,Q1,TO-92,
