Comment,Designator,Footprint,LCSC
USB_C_Plug_USB2.0,P1,USB_C_Receptacle_Jing_918-418K2023S40001,C167321
1N5819,D3,D_SOD-323,C191023
RP2040,U7,RP2040-QFN-56,C2040
Crystal_GND24,Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731
Q_NMOS_GSD,Q3,SOT-23,C20917
HDGC-0.5K-DX-54PWB,J16,FPC_54,C2911871
100u,L1,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,C404483
HDMI_A,J9,HDMI_A_Amphenol_10029449-x01xLF_Horizontal,C427307
MC34063AD,U2,SOIC-8_3.9x4.9mm_P1.27mm,C5349988
AMS1117-3.3,U3,SOT-223-3_TabPin2,C6186
74LVC245,"U1,U4",TSSOP-20_4.4x6.5mm_P0.65mm,C7848
D_Schottky,"D1,D2",D_SOD-123,C8598
W25Q128JVSIQ,U5,SOIC-8_5.23x5.23mm_P1.27mm,C97521
1k,R10,R_0603_1608Metric,
10k,R11,R_0603_1608Metric,
100n,C15,C_0603_1608Metric,
1u,C14,C_0603_1608Metric,
100n,C11,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10k,R1,R_0603_1608Metric,
15p,C19,C_0603_1608Metric,
15k,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
56u,C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10k,R3,R_0603_1608Metric,
10k,R7,R_0603_1608Metric,
100n,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100n,C31,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
15p,C5,C_0603_1608Metric,
10k,R14,R_0603_1608Metric,
100n,C22,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10k,R4,R_0603_1608Metric,
1u,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
462p,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100n,C32,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
22u,C8,C_0603_1608Metric,
100n,C25,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
0.5357,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100n,C24,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
180,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1u,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
27,R17,R_0603_1608Metric,
10u,C9,C_0603_1608Metric,
1u,C29,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
27,R16,R_0603_1608Metric,
100n,C28,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
1u,C26,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
22u,C7,C_0603_1608Metric,
100n,C21,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100u,C13,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
5.1k,R18,R_0603_1608Metric,
10k,R2,R_0603_1608Metric,
100n,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100n,C23,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
1k,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1u,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
1k,R13,R_0603_1608Metric,
